iter	Passed	Remaining
0	345	345476
1	354	176723
2	361	120156
3	370	92291
4	389	77460
5	401	66494
6	409	58038
7	416	51693
8	427	47069
9	437	43339
10	446	40106
11	453	37313
12	463	35186
13	473	33348
14	482	31699
15	489	30079
16	498	28831
17	508	27739
18	516	26657
19	525	25770
20	535	24959
21	542	24134
22	552	23451
23	561	22814
24	567	22139
25	574	21531
26	582	20992
27	590	20482
28	602	20175
29	611	19760
30	619	19358
31	638	19302
32	672	19717
33	686	19509
34	696	19202
35	705	18896
36	716	18642
37	723	18319
38	734	18110
39	743	17845
40	753	17615
41	761	17366
42	769	17131
43	780	16955
44	787	16703
45	797	16540
46	804	16313
47	814	16157
48	823	15973
49	830	15773
50	838	15596
51	847	15449
52	856	15305
53	865	15158
54	876	15051
55	883	14895
56	894	14794
57	903	14671
58	912	14554
59	925	14506
60	934	14388
61	943	14280
62	957	14236
63	965	14120
64	975	14027
65	1001	14169
66	1008	14038
67	1015	13924
68	1024	13822
69	1032	13719
70	1040	13611
71	1048	13519
72	1056	13417
73	1064	13314
74	1071	13213
75	1079	13127
76	1087	13039
77	1096	12960
78	1103	12863
79	1113	12804
80	1120	12714
81	1139	12752
82	1152	12729
83	1169	12753
84	1180	12704
85	1188	12628
86	1198	12576
87	1206	12505
88	1214	12431
89	1223	12371
90	1231	12301
91	1241	12249
92	1250	12192
93	1258	12130
94	1266	12065
95	1275	12013
96	1284	11954
97	1294	11917
98	1304	11868
99	1310	11796
100	1320	11754
101	1327	11685
102	1336	11641
103	1344	11582
104	1352	11528
105	1360	11472
106	1374	11467
107	1382	11415
108	1391	11376
109	1399	11327
110	1406	11266
111	1413	11208
112	1420	11148
113	1426	11085
114	1433	11033
115	1439	10973
116	1446	10918
117	1453	10866
118	1460	10813
119	1467	10764
120	1474	10715
121	1483	10674
122	1490	10629
123	1499	10592
124	1507	10553
125	1515	10509
126	1521	10456
127	1529	10418
128	1535	10368
129	1544	10334
130	1551	10292
131	1558	10247
132	1567	10221
133	1575	10179
134	1581	10135
135	1589	10096
136	1596	10055
137	1602	10008
138	1610	9972
139	1617	9935
140	1625	9902
141	1631	9858
142	1639	9824
143	1645	9781
144	1652	9743
145	1658	9703
146	1665	9666
147	1675	9643
148	1681	9603
149	1689	9573
150	1695	9534
151	1703	9504
152	1711	9472
153	1718	9438
154	1724	9400
155	1730	9363
156	1738	9332
157	1753	9343
158	1760	9311
159	1768	9282
160	1774	9246
161	1781	9216
162	1789	9187
163	1796	9155
164	1803	9125
165	1810	9094
166	1817	9064
167	1823	9031
168	1829	8997
169	1836	8964
170	1842	8931
171	1849	8902
172	1855	8868
173	1863	8843
174	1869	8812
175	1875	8782
176	1884	8762
177	1895	8753
178	1902	8725
179	1913	8718
180	1925	8713
181	1933	8688
182	1943	8677
183	1950	8651
184	1965	8657
185	1979	8661
186	1986	8638
187	1993	8611
188	2002	8591
189	2011	8575
190	2021	8562
191	2029	8540
192	2038	8525
193	2046	8502
194	2055	8485
195	2064	8469
196	2082	8487
197	2090	8469
198	2103	8466
199	2115	8460
200	2123	8442
201	2132	8423
202	2152	8452
203	2187	8534
204	2202	8542
205	2231	8600
206	2241	8588
207	2254	8585
208	2265	8573
209	2277	8567
210	2307	8628
211	2313	8599
212	2329	8606
213	2339	8592
214	2347	8571
215	2357	8555
216	2365	8534
217	2373	8514
218	2379	8487
219	2386	8460
220	2394	8439
221	2408	8438
222	2414	8414
223	2444	8470
224	2453	8451
225	2491	8531
226	2503	8523
227	2512	8505
228	2532	8527
229	2540	8504
230	2551	8493
231	2562	8481
232	2572	8468
233	2595	8497
234	2601	8469
235	2607	8442
236	2616	8423
237	2621	8391
238	2627	8367
239	2635	8345
240	2640	8315
241	2649	8299
242	2656	8276
243	2666	8260
244	2672	8236
245	2681	8217
246	2687	8192
247	2697	8178
248	2703	8154
249	2712	8136
250	2719	8113
251	2727	8096
252	2733	8072
253	2739	8046
254	2747	8027
255	2756	8009
256	2763	7989
257	2769	7966
258	2778	7948
259	2782	7920
260	2791	7903
261	2797	7879
262	2803	7855
263	2811	7836
264	2815	7809
265	2826	7798
266	2831	7774
267	2843	7765
268	2852	7751
269	2858	7728
270	2865	7707
271	2870	7683
272	2876	7659
273	2885	7645
274	2891	7623
275	2900	7609
276	2908	7591
277	2917	7576
278	2922	7553
279	2930	7536
280	2938	7519
281	2950	7511
282	2956	7490
283	2983	7522
284	2990	7502
285	3002	7494
286	3007	7472
287	3017	7459
288	3025	7443
289	3033	7425
290	3046	7421
291	3056	7411
292	3064	7395
293	3079	7393
294	3087	7377
295	3096	7364
296	3104	7348
297	3112	7333
298	3120	7316
299	3128	7298
300	3137	7286
301	3145	7270
302	3159	7267
303	3172	7262
304	3179	7244
305	3194	7244
306	3206	7238
307	3222	7240
308	3231	7227
309	3242	7216
310	3257	7215
311	3268	7207
312	3275	7190
313	3288	7184
314	3298	7172
315	3304	7152
316	3312	7136
317	3318	7117
318	3329	7108
319	3339	7096
320	3348	7083
321	3375	7107
322	3383	7092
323	3393	7080
324	3399	7060
325	3406	7043
326	3414	7027
327	3419	7006
328	3429	6994
329	3436	6977
330	3445	6964
331	3450	6943
332	3462	6934
333	3467	6914
334	3477	6903
335	3486	6889
336	3492	6870
337	3503	6861
338	3510	6844
339	3520	6833
340	3528	6818
341	3539	6810
342	3545	6790
343	3556	6782
344	3562	6763
345	3569	6747
346	3575	6728
347	3585	6717
348	3591	6699
349	3600	6686
350	3606	6667
351	3617	6660
352	3628	6650
353	3636	6636
354	3649	6630
355	3658	6618
356	3668	6608
357	3681	6601
358	3693	6594
359	3699	6577
360	3708	6563
361	3714	6546
362	3719	6527
363	3727	6512
364	3733	6494
365	3745	6487
366	3771	6505
367	3777	6486
368	3782	6468
369	3790	6454
370	3795	6435
371	3805	6423
372	3810	6405
373	3820	6395
374	3833	6389
375	3840	6373
376	3850	6363
377	3860	6351
378	3871	6343
379	3878	6327
380	3890	6320
381	3899	6308
382	3905	6291
383	3913	6277
384	3920	6262
385	3930	6251
386	3939	6239
387	3948	6228
388	3954	6211
389	3963	6199
390	3969	6183
391	3980	6173
392	3996	6172
393	4007	6163
394	4014	6148
395	4026	6141
396	4038	6133
